Nº Autorizacao,Data Publicação DOU - Autorização,Código Instalação i-Simp,Razão Social,CNPJ,Endereço,COMPLEMENTO,BAIRRO,CEP,UF,MUNICÍPIO,Vinculação a Distribuidor,Data de Vinculação a Distribuidor,Delivery,Data Autorização Delivery,Número Despacho Delivery,Status PMQC,latitude,longitude
PR/SP0175756,14/03/2005,1035965,AUTO POSTO PONTE METÁLICA LTDA.,6303970000142,"PRACA MARTINS AFONSO,  78",,CENTRO,12500090,SP,GUARATINGUETA,IPIRANGA,07/03/2012,NÃO,,,ADIMPLENTE,-22.8164,-45.1925
PR/SP0179760,22/03/2005,1036157,AUTO POSTO MAR VIRADO LTDA,6697685000153,"RUA DR ALTINO ARANTES,  116",,CENTRO,11660020,SP,CARAGUATATUBA,VIBRA,22/07/2015,NÃO,,,ADIMPLENTE,-23.6219991,-45.4108075
PR/SP0190837,08/02/2007,1051493,AUTO POSTO BRASIL GAS PINDA LTDA,6975639000179,"RODOVIA PRESIDENTE DUTRA,  KM 87",,MOREIRA CESAR,12440245,SP,PINDAMONHANGABA,BANDEIRA BRANCA,08/02/2007,NÃO,,,ADIMPLENTE,-22.9316988,-45.3639067
PR/SP0206604,31/01/2007,1051087,AUTO POSTO BRASIL GAS CIDADE NOVA DE PINDA LTDA,7022736000100,"AVENIDA GASTAO VIDIGAL NETO,  1200",LOTES 15/16/17 - QUADRA - B1,CIDADE NOVA,12414020,SP,PINDAMONHANGABA,BANDEIRA BRANCA,31/01/2007,NÃO,,,ADIMPLENTE,-22.9239,-45.4617
PF/SP0184786,07/04/2005,1036605,D. CONFIANCA POSTO DE SERVICOS LTDA,7047212000173,"RUA DR. FRANCISCO GOMES DA SILVA PRADO,  40",BOX   3,SACO DO INDAIA,11630000,SP,ILHABELA,VIBRA,07/04/2005,NÃO,,,ADIMPLENTE,-23.7781,-45.3581
PR/SP0229302,10/06/2008,1066368,AUTO POSTO A FERA DE SANTA ISABEL LTDA.,7124666000109,"RUA PREFEITO JOSE BASILIO ALVARENGA,  141",151,CENTRO,7500000,SP,SANTA ISABEL,VIBRA,03/04/2013,NÃO,,,ADIMPLENTE,-23.3162175,-46.2275835
PR/SP0195261,12/05/2006,1043917,POSTO CLUBE DOS 500 LTDA.,7235512000186,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    60,BELVEDERE CLUBE DOS 500,12522640,SP,GUARATINGUETA,IPIRANGA,04/11/2009,NÃO,,,ADIMPLENTE,-22.7872517,-45.155962
PR/SP0189389,19/09/2005,1040006,PETROMARKKA AUTO POSTO LTDA,7308325000185,"AVENIDA CEL. BERTOLDO,  147",,CENTRO,7500000,SP,SANTA ISABEL,VIBRA,19/02/2013,NÃO,,,ADIMPLENTE,-23.3246871,-46.2223567
PR/SP0202335,14/11/2006,1047897,VARSOVIA AUTO POSTO LTDA,7401228000132,"AVENIDA CIDADE JARDIM,  3.370",,BOSQUE DOS EUCALIPTO,12233002,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,22/09/2025,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0213237,31/05/2007,1056250,POSTO E SERVICOS TIGRAO DA DUTRA LTDA,7543502000108,"RODOVIA PRESIDENTE DUTRA,  S/N",KM 12,ENTUPIDO,12800000,SP,QUELUZ,BANDEIRA BRANCA,08/03/2016,NÃO,,,ADIMPLENTE,-22.5364,-44.7778
PR/SP0191547,21/03/2019,1056251,SIQUEIRA CAMPOS & CAMPOS LTDA.,7587338000130,"AVENIDA DAHER PEDRO,  918",,FALCAO,12530000,SP,CUNHA,RUFF C.J.,21/03/2019,NÃO,,,ADIMPLENTE,-23.0747,-44.96
PR/SP0200659,03/10/2006,1047088,AUTO POSTO CACHOEIRA PAULISTA LTDA.,7673415000175,"RODOVIA PRESIDENTE DUTRA,  S/N",KM 37,ZONA RURAL,12630000,SP,CACHOEIRA PAULISTA,RAIZEN,11/03/2011,NÃO,,,ADIMPLENTE,-22.6653,-45.0128
PR/SP0196532,09/06/2006,1044525,AUTO POSTO PRAIA DA FLECHEIRA LTDA,7679108000100,"AVENIDA GASPAR DE SOUZA,  450",,PRAIA DAS PALMEIRAS,11666250,SP,CARAGUATATUBA,BANDEIRA BRANCA,02/07/2015,NÃO,,,ADIMPLENTE,-23.6662891,-45.4367135
PR/SP0206735,31/01/2007,1051106,AUTO POSTO TAK LTDA,7720628000100,"AVENIDA ANDROMEDA,  2477",,JARDIM SATELITE,12230000,SP,SAO JOSE DOS CAMPOS,VIBRA,12/11/2015,NÃO,,,ADIMPLENTE,-23.2323059,-45.8844881
PR/SP0198952,15/08/2006,1045954,AUTO POSTO AZALEIA LTDA,7842034000172,"AVENIDA MONSENHOR ANTONIO DO NASCIMENTO CASTRO,  689",,VILA SAO JOSE,12070360,SP,TAUBATE,VIBRA,03/11/2011,NÃO,,,ADIMPLENTE,-23.0167324,-45.5434048
PR/SP0197044,31/01/2007,1051004,PIRAQUARA COMERCIO VAREJISTA DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA.,7863861000142,"RUA PIRAQUARA CLUB,  477",,VILA SINHA,12212630,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,20/02/2017,NÃO,,,ADIMPLENTE,-23.1585401,-45.903507
PR/SP0220520,23/11/2007,1060992,CENTRO AUTOMOTIVO SAO JUDAS LTDA,7866483000150,"PRACA CAPITAO PEDRO PINTO DA CUNHA,  29",,JARDIM PAULISTA,12215650,SP,SAO JOSE DOS CAMPOS,VIBRA,17/05/2019,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0220102,05/11/2007,1060799,AUTO POSTO LITORAL VALE LTDA.,7939610000102,"AVENIDA   UM,  320",,TABATINGA,11679010,SP,CARAGUATATUBA,VIBRA,05/11/2007,NÃO,,,ADIMPLENTE,-23.6203,-45.4128
PR/SP0203128,19/12/2006,1049060,AUTO POSTO SILVA & VENANCIO LTDA,8186511000151,"RUA MAJOR MIGUEL CHIARADIA,  159",,JARDIM SANTA TEREZINHA,12490000,SP,SAO BENTO DO SAPUCAI,BANDEIRA BRANCA,19/12/2006,NÃO,,,ADIMPLENTE,-22.6889,-45.7397
PR/SP0223722,18/02/2008,1062705,MARECHAL TAUBATE AUTO POSTO LTDA,8219435000133,"RUA FRANCISCO BARRETO LEME,  20",,VL SAO GERALDO,12062000,SP,TAUBATE,RAIZEN,18/05/2011,NÃO,,,ADIMPLENTE,-23.0264,-45.5556
PR/SP0203894,19/12/2006,1049074,AUTO POSTO LIDER FAZENDA LTDA,8299526000126,"RODOVIA VEREADOR ABEL FABRICIO DIAS,  2651",,VILA SAO BENEDITO,12445010,SP,PINDAMONHANGABA,RAIZEN,11/12/2013,NÃO,,,ADIMPLENTE,-22.8968143,-45.3985752
PR/SP0210234,22/03/2007,1053871,JK GUARATINGUETA AUTO POSTO LTDA,8309672000195,"AVENIDA JUSCELINO KUBITSCHEK DE OLIVEIRA,  701",,CAMPO DO GALVAO,12505300,SP,GUARATINGUETA,IPIRANGA,24/03/2025,NÃO,,,ADIMPLENTE,-22.8109176,-45.1969352
PR/SP0204966,28/12/2006,1049615,AUTO POSTO K S LTDA,8361646000106,"RUA JOAO ADAO,  135",,RESIDENCIAL BOSQUE DOS IPES,12236811,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,28/12/2006,NÃO,,,ADIMPLENTE,-23.2623673,-45.8989683
PR/SP0217174,29/08/2007,1059079,AUTO POSTO PORTAL PEREQUE-ACU LTDA,8362201000140,"AVENIDA PADRE MANOEL DA NOBREGA,  2240",,PEREQUE-ACU,11680000,SP,UBATUBA,VIBRA,29/08/2007,NÃO,,,ADIMPLENTE,-23.4144515,-45.0635831
PR/SP0219656,26/10/2007,1060625,AUTO POSTO DS LTDA,8657258000177,"RUA SANTA LUIZA DE MARILLAC,  1661",,VILA SAO JOSE,12070350,SP,TAUBATE,RAIZEN,31/01/2023,NÃO,,,ADIMPLENTE,-23.0264,-45.5556
PR/SP0085722,16/09/2010,1165539,AUTO POSTO TRIUNFO DO CENTRO LTDA,8716041000190,"RUA VILACA,  80",,CENTRO,12210000,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,16/09/2010,NÃO,,,ADIMPLENTE,-23.1801711,-45.8850702
PR/SP0215276,23/07/2007,1057795,CENTRO AUTOMOTIVO CAPRICHO DO VALE LTDA.,8779320000101,"AVENIDA ENGENHEIRO SEBASTIÃO GUALBERTO,  532",,JARDIM BELA VISTA,12209320,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,19/05/2008,NÃO,,,ADIMPLENTE,-23.1744671,-45.8884273
PR/SP0219585,23/10/2007,1060505,CENTRO AUTOMOTIVO BP LTDA.,8883186000186,"AVENIDA JOSE HERCULANO,  5437",,PORTO NOVO,11667000,SP,CARAGUATATUBA,BANDEIRA BRANCA,23/10/2007,NÃO,,,ADIMPLENTE,-23.6500369,-45.4327898
PR/SP0219715,26/10/2007,1060636,CENTRO AUTOMOTIVO BRASIL BPX LTDA,8958132000132,"AVENIDA SANTA MARIA,  17",,PARQUE BRASIL,12328320,SP,JACAREI,RAIZEN,03/01/2020,NÃO,,,ADIMPLENTE,-23.2889797,-45.9559631
PR/SP0068603,30/04/2009,1108724,UBATUBA SERVICOS AUTOMOTIVOS LTDA,8967293000192,"RUA ANTONIO MARQUES DO VALE,  146",,CENTRO,11680000,SP,UBATUBA,ALE,15/05/2023,NÃO,,,ADIMPLENTE,-23.4337014,-45.0849409
PR/SP0077780,09/11/2009,1155010,AMW AUTO POSTO LTDA,9106184000143,"AVENIDA JOAO GUILHERMINO,  370",,CENTRO,12210130,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,07/08/2018,NÃO,,,ADIMPLENTE,-23.1891403,-45.8864723
PR/SP0061148,10/09/2008,1102627,AUTO POSTO TREVO DE CARAGUA LTDA,9603710000180,"PRAÇA PRIMEIRO CENTENARIO,  60",,CAPUTERA,11675010,SP,CARAGUATATUBA,VIBRA,10/09/2008,NÃO,,,ADIMPLENTE,-23.6203,-45.4128
PR/SP0082382,19/04/2010,1160759,ANDRÉIA AUTO POSTO LTDA,9657797000179,"ESTRADA MUNICIPAL CARLOS MIRANDA BARRETO,  351",,POÇO GRANDE,12120000,SP,TREMEMBE,BANDEIRA BRANCA,19/04/2010,NÃO,,,ADIMPLENTE,-22.9583,-45.5464
